category,algorithm,alpha,alpha_high,alpha_low,tx_rate,pow_h,m,n_nodes,duration,topology,latency_model,latency_base_ms,latency_jitter_ms,seed,algo_tag,total_txs,convergence_ratio,orphan_rate,avg_latency_ms,max_latency_ms,size_mean,size_stddev,mean_L_steady,peak_L,wall_time_s
A_alpha_sweep,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.742859840393066,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.02320185614849188,293.6290554832994,400.4676342010498,172.4,0.4898979485566356,4.384,8,25.744097232818604
A_alpha_sweep,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.738864183425903,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.03480278422273782,293.0003843809429,405.9109687805176,172.4,0.4898979485566356,4.792,6,25.73962664604187
A_alpha_sweep,mcmc,0.01,1.0,0.001,2.0,0.2,2,5,25.731463193893433,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.02320185614849188,293.44249921932555,401.2312889099121,172.4,0.4898979485566356,4.032,7,25.73239779472351
A_alpha_sweep,mcmc,0.01,1.0,0.001,2.0,0.2,2,5,25.728042602539062,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.03248259860788863,293.1418634994685,405.61628341674805,172.4,0.4898979485566356,3.952,7,25.732038974761963
A_alpha_sweep,mcmc,0.1,1.0,0.001,2.0,0.2,2,5,25.74682116508484,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.022041763341067284,293.1390080535621,401.00955963134766,172.4,0.4898979485566356,5.552,9,25.749611139297485
A_alpha_sweep,mcmc,0.1,1.0,0.001,2.0,0.2,2,5,25.743592500686646,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.033642691415313224,292.96491682878013,406.85129165649414,172.4,0.4898979485566356,4.432,6,25.745513439178467
A_alpha_sweep,mcmc,0.5,1.0,0.001,2.0,0.2,2,5,25.742818117141724,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.09744779582366589,293.3809056616666,400.81238746643066,172.4,0.4898979485566356,13.064,17,25.74422526359558
A_alpha_sweep,mcmc,0.5,1.0,0.001,2.0,0.2,2,5,25.745065450668335,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.08700696055684455,293.1603409393489,405.25054931640625,172.4,0.4898979485566356,11.92,16,25.74628210067749
A_alpha_sweep,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.745403051376343,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.10324825986078887,293.0869097598115,400.30503273010254,172.4,0.4898979485566356,14.904,18,25.746500968933105
A_alpha_sweep,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.747517108917236,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.1368909512761021,292.84125775621646,404.93011474609375,172.4,0.4898979485566356,18.616,24,25.748432397842407
A_alpha_sweep,mcmc,2.0,1.0,0.001,2.0,0.2,2,5,25.735227346420288,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.2076566125290023,293.36986416264585,400.6388187408447,172.4,0.4898979485566356,30.152,36,25.736437797546387
A_alpha_sweep,mcmc,2.0,1.0,0.001,2.0,0.2,2,5,25.74477982521057,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.23665893271461713,293.0090960703398,405.8403968811035,172.4,0.4898979485566356,34.048,41,25.74583148956299
A_alpha_sweep,mcmc,5.0,1.0,0.001,2.0,0.2,2,5,25.00987410545349,full_mesh,LOGNORMAL,100.0,50.0,42,,146,1.0,0.2808219178082192,293.74505075915107,401.2937545776367,146.0,0.0,36.392,41,25.01080846786499
A_alpha_sweep,mcmc,5.0,1.0,0.001,2.0,0.2,2,5,25.010434865951538,full_mesh,LOGNORMAL,100.0,50.0,101,,146,1.0,0.273972602739726,293.1227022203906,405.87925910949707,146.0,0.0,35.64,40,25.013137578964233
B_algorithm,random,0.01,1.0,0.001,2.0,0.2,2,5,25.733213424682617,full_mesh,LOGNORMAL,100.0,50.0,42,random,174,0.9885057471264368,0.029002320185614848,293.95111157880194,400.73704719543457,172.4,0.4898979485566356,3.864,6,25.734272241592407
B_algorithm,random,0.01,1.0,0.001,2.0,0.2,2,5,25.730194807052612,full_mesh,LOGNORMAL,100.0,50.0,101,random,174,0.9885057471264368,0.022041763341067284,293.2051029818797,405.59840202331543,172.4,0.4898979485566356,3.528,6,25.73175311088562
B_algorithm,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.733330488204956,full_mesh,LOGNORMAL,100.0,50.0,42,mcmc_low,174,0.9885057471264368,0.022041763341067284,293.4601794906527,400.8157253265381,172.4,0.4898979485566356,3.976,7,25.734795093536377
B_algorithm,mcmc,0.001,1.0,0.001,2.0,0.2,2,5,25.740187406539917,full_mesh,LOGNORMAL,100.0,50.0,101,mcmc_low,174,0.9885057471264368,0.03248259860788863,292.64148111231844,405.84683418273926,172.4,0.4898979485566356,3.792,7,25.741382122039795
B_algorithm,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.748068809509277,full_mesh,LOGNORMAL,100.0,50.0,42,mcmc_high,174,0.9885057471264368,0.16009280742459397,293.6334275362784,399.98316764831543,172.4,0.4898979485566356,21.896,28,25.74927568435669
B_algorithm,mcmc,1.0,1.0,0.001,2.0,0.2,2,5,25.736186027526855,full_mesh,LOGNORMAL,100.0,50.0,101,mcmc_high,174,0.9885057471264368,0.12529002320185614,292.74047815311724,404.7703742980957,172.4,0.4898979485566356,15.176,22,25.737316608428955
B_algorithm,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.739635944366455,full_mesh,LOGNORMAL,100.0,50.0,42,hybrid,174,0.9885057471264368,0.029002320185614848,293.2001132714121,399.7838497161865,172.4,0.4898979485566356,5.048,8,25.741016387939453
B_algorithm,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.727189540863037,full_mesh,LOGNORMAL,100.0,50.0,101,hybrid,174,0.9885057471264368,0.022041763341067284,292.93843040689393,406.37850761413574,172.4,0.4898979485566356,3.84,7,25.728370428085327
C_lambda,hybrid,0.01,1.0,0.001,0.5,0.2,2,5,30.378816604614258,full_mesh,LOGNORMAL,100.0,50.0,42,,51,0.9607843137254902,0.024096385542168676,288.9736030519623,370.3324794769287,49.8,0.7483314773547882,1.288,3,30.37996220588684
C_lambda,hybrid,0.01,1.0,0.001,0.5,0.2,2,5,30.379067182540894,full_mesh,LOGNORMAL,100.0,50.0,101,,51,0.9607843137254902,0.0398406374501992,292.5839047042691,426.971435546875,50.2,0.7483314773547882,1.752,3,30.380118131637573
C_lambda,hybrid,0.01,1.0,0.001,1.0,0.2,2,5,26.33673357963562,full_mesh,LOGNORMAL,100.0,50.0,42,,105,0.9904761904761905,0.02862595419847328,292.77399304401445,399.8370170593262,104.8,0.4,3.512,5,26.338085889816284
C_lambda,hybrid,0.01,1.0,0.001,1.0,0.2,2,5,26.343202829360962,full_mesh,LOGNORMAL,100.0,50.0,101,,105,1.0,0.0380952380952381,292.8217431673637,408.0674648284912,105.0,0.0,3.432,5,26.344369411468506
C_lambda,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.734654664993286,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.026682134570765657,293.6702081334521,400.4333019256592,172.4,0.4898979485566356,4.872,7,25.735655784606934
C_lambda,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.72947907447815,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.033642691415313224,292.73571396431726,404.6435356140137,172.4,0.4898979485566356,4.08,7,25.730820894241333
C_lambda,hybrid,0.01,1.0,0.001,5.0,0.2,2,5,25.467232942581177,full_mesh,LOGNORMAL,100.0,50.0,42,,309,0.9902912621359223,0.024739583333333332,293.4576353866939,424.7112274169922,307.2,0.4,7.776,11,25.468623638153076
C_lambda,hybrid,0.01,1.0,0.001,5.0,0.2,2,5,25.47814702987671,full_mesh,LOGNORMAL,100.0,50.0,101,,309,0.9902912621359223,0.022786458333333336,293.6618760873915,446.12932205200195,307.2,0.7483314773547883,7.376,10,25.479581594467163
C_lambda,hybrid,0.01,1.0,0.001,10.0,0.2,2,5,25.136300086975098,full_mesh,LOGNORMAL,100.0,50.0,42,,411,0.9902676399026764,0.02206964198136341,293.62362035976844,426.7849922180176,407.8,0.4,8.384,11,25.139774560928345
C_lambda,hybrid,0.01,1.0,0.001,10.0,0.2,2,5,25.142728328704834,full_mesh,LOGNORMAL,100.0,50.0,101,,411,0.9902676399026764,0.018627450980392157,295.14989882249097,442.80123710632324,408.0,0.6324555320336759,8.472,11,25.14474368095398
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.1,2,5,25.318681478500366,full_mesh,LOGNORMAL,100.0,50.0,42,,206,0.7475728155339806,0.023711340206185566,192.97784784649963,320.9104537963867,194.0,20.00999750124922,4.744,7,25.32003116607666
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.1,2,5,25.318544387817383,full_mesh,LOGNORMAL,100.0,50.0,101,,206,0.9854368932038835,0.01962708537782139,193.6293794728622,375.3848075866699,203.8,0.7483314773547882,3.36,5,25.31956434249878
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.3,2,5,26.664758920669556,full_mesh,LOGNORMAL,100.0,50.0,42,,152,1.0,0.02631578947368421,393.5461833777017,506.87694549560547,152.0,0.0,5.4,7,26.665478944778442
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.3,2,5,26.662910223007202,full_mesh,LOGNORMAL,100.0,50.0,101,,152,1.0,0.02631578947368421,392.7228209988171,510.96129417419434,152.0,0.0,4.16,6,26.6637601852417
